int32 ACKCount,int32 ACKWaiting,int32 CANCount,uint32 GW_ID,int32 NAKCount,int32 OOFCount,int32 SOAFCount,int32 TIME,int32 badChecksum,int32 badroutes,int32 broadcastReadCount,int32 broadcastWriteCount,int32 callbacks,int32 dropped,int32 netBusy,int32 noACK,int32 nonDelivery,int32 notIdle,int32 readAborts,int32 readCount,int32 retries,int32 routedBusy,int32 writeCount
19,0,0,1102,0,0,33,1509055753,0,0,0,9,0,0,0,0,0,0,0,33,0,0,19
19,0,0,1102,0,0,33,1509055758,0,0,0,9,0,0,0,0,0,0,0,33,0,0,19
19,0,0,1102,0,0,33,1509055763,0,0,0,9,0,0,0,0,0,0,0,33,0,0,19
19,0,0,1102,0,0,34,1509055768,0,0,0,9,0,0,0,0,0,0,0,34,0,0,19
19,0,0,1102,0,0,37,1509055773,0,0,0,9,0,0,0,0,0,0,0,37,0,0,19
21,0,0,1102,0,0,48,1509055778,0,0,0,9,0,0,0,0,0,0,0,48,0,0,21
23,0,0,1102,0,0,60,1509055783,0,0,0,9,0,0,0,0,0,0,0,60,0,0,23
25,0,0,1102,0,0,72,1509055788,0,0,0,9,0,0,0,0,0,0,0,72,0,0,25
25,0,0,1102,0,0,76,1509055793,0,0,0,9,0,0,0,0,0,0,0,76,0,0,25
27,0,0,1102,0,0,87,1509055798,0,0,0,9,0,0,0,0,0,0,0,87,0,0,27
31,0,0,1102,0,0,109,1509055803,0,0,0,9,0,0,0,0,0,0,0,109,0,0,31
33,0,0,1102,0,0,123,1509055808,0,0,0,9,0,0,0,0,0,0,0,123,0,0,33
35,0,0,1102,0,0,130,1509055813,0,0,0,9,0,0,0,0,0,0,0,130,0,0,35
37,0,0,1102,0,0,144,1509055818,0,0,0,9,0,0,0,0,0,0,0,144,0,0,37
39,0,0,1102,0,0,153,1509055823,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
39,0,0,1102,0,0,153,1509055828,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
39,0,0,1102,0,0,153,1509055833,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
39,0,0,1102,0,0,153,1509055838,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
39,0,0,1102,0,0,153,1509055843,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
39,0,0,1102,0,0,153,1509055848,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
39,0,0,1102,0,0,153,1509055853,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
39,0,0,1102,0,0,153,1509055858,0,0,0,9,0,0,0,0,0,0,0,153,0,0,39
