uint32 GW_ID,int32 TIME,int32 averageRequestRTT,int32 averageResponseRTT,int32 lastRequestRTT,int32 lastResponseRTT,int32 nodeID,int32 quality,int32 receiveDuplications,int32 receiveUnsolicited,int32 receivedCount,int32 sentCount,int32 sentFailed
1102,1509057486,0,0,0,0,1,0,0,0,0,1,0
1102,1509057486,20,30,21,30,4,0,0,0,7,9,0
1102,1509057491,0,0,0,0,1,0,0,0,0,1,0
1102,1509057491,20,30,21,30,4,0,0,0,7,9,0
1102,1509057496,0,0,0,0,1,0,0,0,0,1,0
1102,1509057496,20,30,21,30,4,0,0,0,7,9,0
1102,1509057501,0,0,0,0,1,0,0,0,0,1,0
1102,1509057501,20,30,21,30,4,0,0,1,8,9,0
1102,1509057506,0,0,0,0,1,0,0,0,0,1,0
1102,1509057506,20,29,21,30,4,0,1,3,12,11,0
1102,1509057511,0,0,0,0,1,0,0,0,0,1,0
1102,1509057512,20,29,21,30,4,0,2,8,19,13,0
1102,1509057516,0,0,0,0,1,0,0,0,0,1,0
1102,1509057517,20,29,21,30,4,0,3,10,23,15,0
1102,1509057521,0,0,0,0,1,0,0,0,0,1,0
1102,1509057522,20,29,21,30,4,0,5,16,33,19,0
1102,1509057526,0,0,0,0,1,0,0,0,0,1,0
1102,1509057527,20,29,21,30,4,0,9,23,48,27,0
1102,1509057531,0,0,0,0,1,0,0,0,0,1,0
1102,1509057532,20,29,21,30,4,0,10,27,54,29,0
1102,1509057536,0,0,0,0,1,0,0,0,0,1,0
1102,1509057537,20,29,21,30,4,0,12,31,62,33,0
1102,1509057541,0,0,0,0,1,0,0,0,0,1,0
1102,1509057542,20,29,21,30,4,0,12,34,65,33,0
1102,1509057546,0,0,0,0,1,0,0,0,0,1,0
1102,1509057546,20,29,21,30,4,0,13,39,74,37,0
1102,1509057551,0,0,0,0,1,0,0,0,0,1,0
1102,1509057551,20,29,21,30,4,0,13,39,74,37,0
1102,1509057556,0,0,0,0,1,0,0,0,0,1,0
1102,1509057556,20,29,21,30,4,0,13,39,74,37,0
1102,1509057561,0,0,0,0,1,0,0,0,0,1,0
1102,1509057561,20,29,21,30,4,0,13,39,74,37,0
1102,1509057566,0,0,0,0,1,0,0,0,0,1,0
1102,1509057566,20,29,21,30,4,0,13,39,74,37,0
1102,1509057571,0,0,0,0,1,0,0,0,0,1,0
1102,1509057571,20,29,21,30,4,0,13,39,74,37,0
1102,1509057576,0,0,0,0,1,0,0,0,0,1,0
1102,1509057576,20,29,21,30,4,0,13,39,74,37,0
